,userId,ISBN,bookRating,bookTitle
0,276747,60517794,4.5,Little Altars Everywhere
1,278843,60517794,3.5,Little Altars Everywhere
2,4017,60517794,5.0,Little Altars Everywhere
3,8961,60517794,4.0,Little Altars Everywhere
4,21788,60517794,4.5,Little Altars Everywhere
5,26883,60517794,3.5,Little Altars Everywhere
6,34987,60517794,4.0,Little Altars Everywhere
7,37227,60517794,5.0,Little Altars Everywhere
8,52584,60517794,4.0,Little Altars Everywhere
9,86548,60517794,5.0,Little Altars Everywhere
10,88123,60517794,4.5,Little Altars Everywhere
11,96357,60517794,2.5,Little Altars Everywhere
12,110382,60517794,4.0,Little Altars Everywhere
13,135149,60517794,3.5,Little Altars Everywhere
14,147528,60517794,4.5,Little Altars Everywhere
15,158583,60517794,3.0,Little Altars Everywhere
16,163467,60517794,3.5,Little Altars Everywhere
17,164323,60517794,3.0,Little Altars Everywhere
18,164956,60517794,2.5,Little Altars Everywhere
19,201697,60517794,4.5,Little Altars Everywhere
20,202277,60517794,4.0,Little Altars Everywhere
21,208287,60517794,4.0,Little Altars Everywhere
22,224220,60517794,3.5,Little Altars Everywhere
23,231838,60517794,4.0,Little Altars Everywhere
24,237776,60517794,5.0,Little Altars Everywhere
25,246634,60517794,4.0,Little Altars Everywhere
26,249228,60517794,5.0,Little Altars Everywhere
27,249746,60517794,3.5,Little Altars Everywhere
28,276747,679776818,4.0,Birdsong: A Novel of Love and War
29,6073,679776818,4.5,Birdsong: A Novel of Love and War
30,11676,679776818,4.0,Birdsong: A Novel of Love and War
31,13947,679776818,5.0,Birdsong: A Novel of Love and War
32,30511,679776818,3.5,Birdsong: A Novel of Love and War
33,62464,679776818,3.0,Birdsong: A Novel of Love and War
34,84537,679776818,2.5,Birdsong: A Novel of Love and War
35,92853,679776818,4.5,Birdsong: A Novel of Love and War
36,121596,679776818,4.0,Birdsong: A Novel of Love and War
37,139462,679776818,2.5,Birdsong: A Novel of Love and War
38,142479,679776818,5.0,Birdsong: A Novel of Love and War
39,159854,679776818,4.0,Birdsong: A Novel of Love and War
40,182676,679776818,4.0,Birdsong: A Novel of Love and War
41,186848,679776818,4.0,Birdsong: A Novel of Love and War
42,208570,679776818,4.0,Birdsong: A Novel of Love and War
43,221655,679776818,3.5,Birdsong: A Novel of Love and War
44,225986,679776818,4.5,Birdsong: A Novel of Love and War
45,226950,679776818,3.0,Birdsong: A Novel of Love and War
46,226965,679776818,2.5,Birdsong: A Novel of Love and War
47,234288,679776818,3.5,Birdsong: A Novel of Love and War
